contact_id,service_request_id,account_id,first_name,last_name,email,phone,title,department,request_source,communication_no,created_date
CON00000001,SRQ00000001,ACC000030,Linda,Wilson,linda.wilson417@springfield.gov,(686) 514-9517,Analyst,Operations,Phone Inquiry,14768.0,2021-10-29
CON00000002,SRQ00000002,ACC000994,Charles,Lopez,charles.lopez330@springfield.gov,(235) 264-9289,Director,Operations,Referral,6814.0,2021-11-09
CON00000003,SRQ00000003,ACC000586,Mark,Robinson,mark.robinson187@springfield.gov,(288) 524-6449,Manager,Operations,Phone Inquiry,,2021-12-07
CON00000004,SRQ00000003,ACC000586,Elizabeth,Smith,elizabeth.smith591@springfield.gov,(429) 989-3107,Manager,Public Services,Website,,2021-12-07
CON00000005,SRQ00000004,ACC000353,Carol,Anderson,carol.anderson281@springfield.gov,(371) 378-7172,Director,Operations,Other,29775.0,2021-08-20
CON00000006,SRQ00000005,ACC000796,Donna,Anderson,donna.anderson609@springfield.gov,(382) 582-8638,Manager,Public Relations,Phone Inquiry,22599.0,2021-11-02
CON00000007,SRQ00000006,ACC000335,Lisa,Miller,lisa.miller862@springfield.gov,(553) 949-5153,Manager,Finance,Phone Inquiry,1323.0,2021-09-01
CON00000008,SRQ00000007,ACC000928,Sarah,Lewis,sarah.lewis585@springfield.gov,(713) 572-1038,Manager,Public Services,Website,,2021-11-05
CON00000009,SRQ00000008,ACC000455,Joseph,Rodriguez,joseph.rodriguez939@springfield.gov,(759) 230-8299,Manager,Operations,Other,30096.0,2021-09-18
CON00000010,SRQ00000009,ACC000978,Michael,Johnson,michael.johnson123@springfield.gov,(555) 123-4567,Director,Public Works,Public Meeting,22295.0,2024-04-21
CON00000011,SRQ00000010,ACC000123,Jennifer,Davis,jennifer.davis456@springfield.gov,(555) 234-5678,Manager,Planning,Phone,12345.0,2024-01-15
CON00000012,SRQ00000011,ACC000124,Robert,Wilson,robert.wilson789@springfield.gov,(555) 345-6789,Director,Public Safety,Online,12346.0,2024-02-20
CON00000013,SRQ00000012,ACC000125,Mary,Brown,mary.brown012@springfield.gov,(555) 456-7890,Manager,Community Services,Phone,12347.0,2024-03-10
CON00000014,SRQ00000013,ACC000126,David,Garcia,david.garcia345@springfield.gov,(555) 567-8901,Director,Parks & Recreation,Website,12348.0,2024-04-05
CON00000015,SRQ00000014,ACC000127,Sarah,Miller,sarah.miller678@springfield.gov,(555) 678-9012,Manager,Public Health,Referral,12349.0,2024-05-12
CON00000016,SRQ00000015,ACC000128,James,Martinez,james.martinez901@springfield.gov,(555) 789-0123,Director,Environmental Services,Other,12350.0,2024-06-18
CON00000017,SRQ00000016,ACC000129,Patricia,Anderson,patricia.anderson234@springfield.gov,(555) 890-1234,Manager,Public Works,Public Meeting,12351.0,2024-07-25
CON00000018,SRQ00000017,ACC000130,John,Taylor,john.taylor567@springfield.gov,(555) 901-2345,Director,Finance,Phone,12352.0,2024-08-30
CON00000019,SRQ00000018,ACC000131,Linda,Thomas,linda.thomas890@springfield.gov,(555) 012-3456,Manager,Human Resources,Online,12353.0,2024-09-15
CON00000020,SRQ00000019,ACC000132,William,Jackson,william.jackson123@springfield.gov,(555) 123-4567,Director,Information Technology,Website,12354.0,2024-10-08
CON00000021,SRQ00000020,ACC000133,Elizabeth,White,elizabeth.white456@springfield.gov,(555) 234-5678,Manager,Legal Services,Referral,12355.0,2024-11-22
CON00000022,SRQ00000021,ACC000134,Michael,Harris,michael.harris789@springfield.gov,(555) 345-6789,Director,Public Relations,Other,12356.0,2024-12-05
CON00000023,SRQ00000022,ACC000135,Jennifer,Martin,jennifer.martin012@springfield.gov,(555) 456-7890,Manager,Planning,Public Meeting,12357.0,2023-01-12
CON00000024,SRQ00000023,ACC000136,Robert,Garcia,robert.garcia345@springfield.gov,(555) 567-8901,Director,Public Safety,Phone,12358.0,2023-02-28
CON00000025,SRQ00000024,ACC000137,Mary,Martinez,mary.martinez678@springfield.gov,(555) 678-9012,Manager,Community Services,Online,12359.0,2023-03-15
CON00000026,SRQ00000025,ACC000138,David,Anderson,david.anderson901@springfield.gov,(555) 789-0123,Director,Parks & Recreation,Website,12360.0,2023-04-22
CON00000027,SRQ00000026,ACC000139,Sarah,Taylor,sarah.taylor234@springfield.gov,(555) 890-1234,Manager,Public Health,Referral,12361.0,2023-05-30
CON00000028,SRQ00000027,ACC000140,James,Thomas,james.thomas567@springfield.gov,(555) 901-2345,Director,Environmental Services,Other,12362.0,2023-06-18
CON00000029,SRQ00000028,ACC000141,Patricia,Jackson,patricia.jackson890@springfield.gov,(555) 012-3456,Manager,Public Works,Public Meeting,12363.0,2023-07-25
CON00000030,SRQ00000029,ACC000142,John,White,john.white123@springfield.gov,(555) 123-4567,Director,Finance,Phone,12364.0,2023-08-12
CON00000031,SRQ00000030,ACC000143,Linda,Harris,linda.harris456@springfield.gov,(555) 234-5678,Manager,Human Resources,Online,12365.0,2023-09-28
CON00000032,SRQ00000031,ACC000144,William,Martin,william.martin789@springfield.gov,(555) 345-6789,Director,Information Technology,Website,12366.0,2023-10-15
CON00000033,SRQ00000032,ACC000145,Elizabeth,Garcia,elizabeth.garcia012@springfield.gov,(555) 456-7890,Manager,Legal Services,Referral,12367.0,2023-11-02
CON00000034,SRQ00000033,ACC000146,Michael,Martinez,michael.martinez345@springfield.gov,(555) 567-8901,Director,Public Relations,Other,12368.0,2023-12-20
CON00000035,SRQ00000034,ACC000147,Jennifer,Anderson,jennifer.anderson678@springfield.gov,(555) 678-9012,Manager,Planning,Public Meeting,12369.0,2022-01-08
CON00000036,SRQ00000035,ACC000148,Robert,Taylor,robert.taylor901@springfield.gov,(555) 789-0123,Director,Public Safety,Phone,12370.0,2022-02-25
CON00000037,SRQ00000036,ACC000149,Mary,Thomas,mary.thomas234@springfield.gov,(555) 890-1234,Manager,Community Services,Online,12371.0,2022-03-15
CON00000038,SRQ00000037,ACC000150,David,Jackson,david.jackson567@springfield.gov,(555) 901-2345,Director,Parks & Recreation,Website,12372.0,2022-04-22
CON00000039,SRQ00000038,ACC000151,Sarah,White,sarah.white890@springfield.gov,(555) 012-3456,Manager,Public Health,Referral,12373.0,2022-05-30
CON00000040,SRQ00000039,ACC000152,James,Harris,james.harris123@springfield.gov,(555) 123-4567,Director,Environmental Services,Other,12374.0,2022-06-18
CON00000041,SRQ00000040,ACC000153,Patricia,Martin,patricia.martin456@springfield.gov,(555) 234-5678,Manager,Public Works,Public Meeting,12375.0,2022-07-25
CON00000042,SRQ00000041,ACC000154,John,Garcia,john.garcia789@springfield.gov,(555) 345-6789,Director,Finance,Phone,12376.0,2022-08-12
CON00000043,SRQ00000042,ACC000155,Linda,Martinez,linda.martinez012@springfield.gov,(555) 456-7890,Manager,Human Resources,Online,12377.0,2022-09-28
CON00000044,SRQ00000043,ACC000156,William,Anderson,william.anderson345@springfield.gov,(555) 567-8901,Director,Information Technology,Website,12378.0,2022-10-15
CON00000045,SRQ00000044,ACC000157,Elizabeth,Taylor,elizabeth.taylor678@springfield.gov,(555) 678-9012,Manager,Legal Services,Referral,12379.0,2022-11-02
CON00000046,SRQ00000045,ACC000158,Michael,Thomas,michael.thomas901@springfield.gov,(555) 789-0123,Director,Public Relations,Other,12380.0,2022-12-20
CON00000047,SRQ00000046,ACC000159,Jennifer,Jackson,jennifer.jackson234@springfield.gov,(555) 890-1234,Manager,Planning,Public Meeting,12381.0,2021-01-08
CON00000048,SRQ00000047,ACC000160,Robert,White,robert.white567@springfield.gov,(555) 901-2345,Director,Public Safety,Phone,12382.0,2021-02-25
CON00000049,SRQ00000048,ACC000161,Mary,Harris,mary.harris890@springfield.gov,(555) 012-3456,Manager,Community Services,Online,12383.0,2021-03-15
CON00000050,SRQ00000049,ACC000162,David,Martin,david.martin123@springfield.gov,(555) 123-4567,Director,Parks & Recreation,Website,12384.0,2021-04-22
CON00000051,SRQ00000050,ACC000163,Sarah,Garcia,sarah.garcia456@springfield.gov,(555) 234-5678,Manager,Public Health,Referral,12385.0,2021-05-30
CON00000052,SRQ00000001,ACC000030,Thomas,Wilson,thomas.wilson789@springfield.gov,(555) 345-6789,Director,Operations,Phone Inquiry,14768.0,2021-10-29
